Date,Max,Min
2020-01-01,40,28
2020-01-02,30,22
2020-01-03,46,29
2020-01-04,45,37
2020-01-05,37,27
2020-01-06,31,27
2020-01-07,37,21
2020-01-08,32,21
2020-01-09,31,14
2020-01-10,31,11
2020-01-11,50,31
2020-01-12,63,50
2020-01-13,60,28
2020-01-14,45,29
2020-01-15,44,28
2020-01-16,43,28
2020-01-17,37,10
2020-01-18,12,4
2020-01-19,35,10
2020-01-20,32,12
2020-01-21,18,9
2020-01-22,25,5
2020-01-23,36,5
2020-01-24,39,23
2020-01-25,48,32
2020-01-26,35,31
2020-01-27,36,31
2020-01-28,34,28
2020-01-29,30,23
2020-01-30,23,6
2020-01-31,29,6
2020-02-01,34,27
2020-02-02,32,23
2020-02-03,35,27
2020-02-04,47,25
2020-02-05,43,25
2020-02-06,31,24
2020-02-07,36,26
2020-02-08,26,15
2020-02-09,21,7
2020-02-10,34,19
2020-02-11,38,32
2020-02-12,33,26
2020-02-13,37,25
2020-02-14,32,8
2020-02-15,9,-11
2020-02-16,28,-10
2020-02-17,40,17
2020-02-18,35,18
2020-02-19,41,29
2020-02-20,31,15
2020-02-21,24,8
2020-02-22,32,6
2020-02-23,41,7
2020-02-24,49,23
2020-02-25,55,30
2020-02-26,38,32
2020-02-27,45,26
2020-02-28,27,20
2020-02-29,28,16
2020-03-01,21,14
2020-03-02,38,19
2020-03-03,59,36
2020-03-04,54,36
2020-03-05,43,32
2020-03-06,47,28
2020-03-07,46,22
2020-03-08,32,20
2020-03-09,58,25
2020-03-10,69,37
2020-03-11,59,29
2020-03-12,42,29
2020-03-13,53,38
2020-03-14,54,31
2020-03-15,38,30
2020-03-16,37,14
2020-03-17,49,14
2020-03-18,45,24
2020-03-19,50,24
2020-03-20,54,40
2020-03-21,68,27
2020-03-22,33,13
2020-03-23,42,13
2020-03-24,34,31
2020-03-25,36,31
2020-03-26,46,34
2020-03-27,62,36
2020-03-28,48,28
2020-03-29,44,34
2020-03-30,55,38
2020-03-31,48,38
2020-04-01,47,37
2020-04-02,45,25
2020-04-03,48,26
2020-04-04,41,34
2020-04-05,55,40
2020-04-06,57,28
2020-04-07,55,32
2020-04-08,61,35
2020-04-09,54,36
2020-04-10,48,31
2020-04-11,41,30
2020-04-12,46,26
2020-04-13,62,35
2020-04-14,66,36
2020-04-15,46,26
2020-04-16,42,22
2020-04-17,38,26
2020-04-18,41,30
2020-04-19,44,30
2020-04-20,60,30
2020-04-21,48,27
2020-04-22,48,26
2020-04-23,39,27
2020-04-24,43,30
2020-04-25,52,38
2020-04-26,61,38
2020-04-27,48,33
2020-04-28,43,26
2020-04-29,58,29
2020-04-30,63,46
2020-05-01,61,44
2020-05-02,58,36
2020-05-03,68,38
2020-05-04,75,39
2020-05-05,46,31
2020-05-06,50,27
2020-05-07,51,27
2020-05-08,58,29
2020-05-09,45,25
2020-05-10,37,28
2020-05-11,56,35
2020-05-12,53,32
2020-05-13,46,25
2020-05-14,53,28
2020-05-15,68,36
2020-05-16,81,52
2020-05-17,62,39
2020-05-18,71,43
2020-05-19,59,53
2020-05-20,70,40
2020-05-21,69,36
2020-05-22,75,48
2020-05-23,76,58
2020-05-24,78,53
2020-05-25,77,56
2020-05-26,81,60
2020-05-27,90,66
2020-05-28,83,65
2020-05-29,77,67
2020-05-30,83,54
2020-05-31,77,44
2020-06-01,57,38
2020-06-02,68,43
2020-06-03,65,52
2020-06-04,75,54
2020-06-05,84,59
2020-06-06,83,61
2020-06-07,79,50
2020-06-08,67,42
2020-06-09,73,47
2020-06-10,87,56
2020-06-11,88,70
2020-06-12,78,51
2020-06-13,72,40
2020-06-14,60,34
2020-06-15,65,36
2020-06-16,72,41
2020-06-17,78,46
2020-06-18,82,53
2020-06-19,85,60
2020-06-20,82,58
2020-06-21,85,63
2020-06-22,86,64
2020-06-23,88,66
2020-06-24,86,57
2020-06-25,77,50
2020-06-26,77,55
2020-06-27,80,54
2020-06-28,77,60
2020-06-29,79,55
2020-06-30,81,60
2020-07-01,74,61
2020-07-02,79,56
2020-07-03,88,59
2020-07-04,84,61
2020-07-05,86,54
2020-07-06,88,57
2020-07-07,90,63
2020-07-08,84,69
2020-07-09,87,63
2020-07-10,92,66
2020-07-11,87,68
2020-07-12,84,66
2020-07-13,82,59
2020-07-14,77,54
2020-07-15,79,55
2020-07-16,85,60
2020-07-17,73,68
2020-07-18,82,56
2020-07-19,89,59
2020-07-20,91,69
2020-07-21,85,57
2020-07-22,78,64
2020-07-23,85,67
2020-07-24,84,65
2020-07-25,83,62
2020-07-26,85,60
2020-07-27,87,62
2020-07-28,95,69
2020-07-29,84,57
2020-07-30,82,61
2020-07-31,79,53
2020-08-01,81,54
2020-08-02,85,53
2020-08-03,90,68
2020-08-04,83,67
2020-08-05,73,61
2020-08-06,77,51
2020-08-07,76,55
2020-08-08,77,59
2020-08-09,83,60
2020-08-10,88,60
2020-08-11,89,68
2020-08-12,91,61
2020-08-13,81,55
2020-08-14,85,55
2020-08-15,83,58
2020-08-16,82,62
2020-08-17,81,61
2020-08-18,80,55
2020-08-19,77,52
2020-08-20,72,44
2020-08-21,79,47
2020-08-22,86,56
2020-08-23,86,58
2020-08-24,89,60
2020-08-25,88,63
2020-08-26,80,55
2020-08-27,69,56
2020-08-28,86,62
2020-08-29,73,65
2020-08-30,84,60
2020-08-31,70,45
2020-09-01,73,46
2020-09-02,72,63
2020-09-03,77,57
2020-09-04,76,58
2020-09-05,74,45
2020-09-06,73,46
2020-09-07,73,52
2020-09-08,77,61
2020-09-09,85,57
2020-09-10,85,60
2020-09-11,81,55
2020-09-12,62,41
2020-09-13,70,42
2020-09-14,66,53
2020-09-15,62,33
2020-09-16,64,35
2020-09-17,72,48
2020-09-18,64,42
2020-09-19,59,27
2020-09-20,57,28
2020-09-21,61,29
2020-09-22,66,30
2020-09-23,65,33
2020-09-24,75,39
2020-09-25,78,44
2020-09-26,79,50
2020-09-27,79,55
2020-09-28,80,59
2020-09-29,81,62
2020-09-30,62,50
2020-10-01,64,50
2020-10-02,63,42
2020-10-03,59,40
2020-10-04,58,38
2020-10-05,54,41
2020-10-06,57,35
2020-10-07,65,40
2020-10-08,63,48
2020-10-09,54,38
2020-10-10,67,38
2020-10-11,79,47
2020-10-12,59,45
2020-10-13,57,46
2020-10-14,60,34
2020-10-15,63,35
2020-10-16,76,46
2020-10-17,48,28
2020-10-18,56,28
2020-10-19,57,42
2020-10-20,59,51
2020-10-21,57,47
2020-10-22,75,53
2020-10-23,63,48
2020-10-24,77,46
2020-10-25,47,31
2020-10-26,48,33
2020-10-27,53,40
2020-10-28,49,40
2020-10-29,53,36
2020-10-30,45,37
2020-10-31,40,32
2020-11-01,43,33
2020-11-02,48,28
2020-11-03,44,27
2020-11-04,42,29
2020-11-05,66,40
2020-11-06,70,45
2020-11-07,71,36
2020-11-08,72,34
2020-11-09,74,37
2020-11-10,76,40
2020-11-11,75,54
2020-11-12,63,41
2020-11-13,44,23
2020-11-14,50,32
2020-11-15,45,26
2020-11-16,50,39
2020-11-17,42,34
2020-11-18,38,20
2020-11-19,28,20
2020-11-20,50,27
2020-11-21,65,42
2020-11-22,44,24
2020-11-23,50,28
2020-11-24,40,34
2020-11-25,39,27
2020-11-26,49,38
2020-11-27,56,43
2020-11-28,48,40
2020-11-29,42,26
2020-11-30,53,27
2020-12-01,52,39
2020-12-02,39,28
2020-12-03,37,22
2020-12-04,46,28
2020-12-05,47,35
2020-12-06,37,25
2020-12-07,29,25
2020-12-08,28,24
2020-12-09,31,22
2020-12-10,37,27
2020-12-11,41,30
2020-12-12,52,33
2020-12-13,51,37
2020-12-14,47,31
2020-12-15,36,26
2020-12-16,26,14
2020-12-17,25,16
2020-12-18,23,18
2020-12-19,24,-0
2020-12-20,27,-0
2020-12-21,33,26
2020-12-22,37,28
2020-12-23,37,26
2020-12-24,42,25
2020-12-25,52,37
2020-12-26,37,18
2020-12-27,24,19
2020-12-28,34,24
2020-12-29,40,26
2020-12-30,30,16
2020-12-31,39,25
2021-01-01,33,25
2021-01-02,40,24
2021-01-03,42,27
2021-01-04,35,27
2021-01-05,33,30
2021-01-06,33,28
2021-01-07,31,26
2021-01-08,28,23
2021-01-09,23,14
2021-01-10,32,15
2021-01-11,33,19
2021-01-12,36,24
2021-01-13,32,28
2021-01-14,35,29
2021-01-15,39,31
2021-01-16,41,31
2021-01-17,35,31
2021-01-18,38,28
2021-01-19,31,26
2021-01-20,34,24
2021-01-21,25,16
2021-01-22,34,23
2021-01-23,34,18
2021-01-24,19,13
2021-01-25,20,2
2021-01-26,30,2
2021-01-27,32,24
2021-01-28,25,16
2021-01-29,18,6
2021-01-30,14,8
2021-01-31,22,-3
2021-02-01,25,6
2021-02-02,26,17
2021-02-03,27,20
2021-02-04,27,23
2021-02-05,38,17
2021-02-06,42,25
2021-02-07,31,2
2021-02-08,30,-8
2021-02-09,24,-6
2021-02-10,27,13
2021-02-11,24,14
2021-02-12,24,-4
2021-02-13,16,2
2021-02-14,24,4
2021-02-15,24,15
2021-02-16,34,20
2021-02-17,39,10
2021-02-18,23,10
2021-02-19,23,16
2021-02-20,30,20
2021-02-21,26,9
2021-02-22,32,8
2021-02-23,33,22
2021-02-24,38,25
2021-02-25,52,28
2021-02-26,35,14
2021-02-27,40,20
2021-02-28,49,24
2021-03-01,40,25
2021-03-02,38,11
2021-03-03,25,11
2021-03-04,41,18
2021-03-05,27,15
2021-03-06,29,16
2021-03-07,24,16
2021-03-08,28,4
2021-03-09,43,5
2021-03-10,48,24
2021-03-11,61,38
2021-03-12,68,34
2021-03-13,55,23
2021-03-14,41,24
2021-03-15,36,14
2021-03-16,26,14
2021-03-17,37,22
2021-03-18,52,32
2021-03-19,41,20
2021-03-20,33,17
2021-03-21,52,17
2021-03-22,62,24
2021-03-23,65,29
2021-03-24,65,29
2021-03-25,56,47
2021-03-26,73,51
2021-03-27,68,37
2021-03-28,56,36
2021-03-29,58,32
2021-03-30,44,26
2021-03-31,66,36
2021-04-01,55,29
2021-04-02,34,19
2021-04-03,33,15
2021-04-04,49,16
2021-04-05,54,26
2021-04-06,55,24
2021-04-07,59,27
2021-04-08,68,36
2021-04-09,74,50
2021-04-10,63,52
2021-04-11,75,53
2021-04-12,60,47
2021-04-13,47,38
2021-04-14,63,38
2021-04-15,66,41
2021-04-16,46,34
2021-04-17,40,32
2021-04-18,48,36
2021-04-19,56,37
2021-04-20,60,39
2021-04-21,45,33
2021-04-22,33,26
2021-04-23,39,23
2021-04-24,59,32
2021-04-25,65,40
2021-04-26,56,31
2021-04-27,47,30
2021-04-28,72,36
2021-04-29,78,48
2021-04-30,55,47
2021-05-01,54,33
2021-05-02,60,34
2021-05-03,68,44
2021-05-04,63,48
2021-05-05,76,52
2021-05-06,52,40
2021-05-07,54,30
2021-05-08,53,34
2021-05-09,51,32
2021-05-10,54,36
2021-05-11,55,31
2021-05-12,52,36
2021-05-13,61,32
2021-05-14,64,34
2021-05-15,69,38
2021-05-16,71,38
2021-05-17,70,44
2021-05-18,74,44
2021-05-19,77,45
2021-05-20,83,50
2021-05-21,88,57
2021-05-22,89,56
2021-05-23,82,57
2021-05-24,77,44
2021-05-25,74,47
2021-05-26,81,58
2021-05-27,84,53
2021-05-28,63,43
2021-05-29,50,41
2021-05-30,51,41
2021-05-31,52,45
2021-06-01,69,45
2021-06-02,74,47
2021-06-03,67,53
2021-06-04,71,60
2021-06-05,80,59
2021-06-06,87,56
2021-06-07,87,58
2021-06-08,87,65
2021-06-09,83,66
2021-06-10,80,54
2021-06-11,81,54
2021-06-12,76,60
2021-06-13,78,56
2021-06-14,82,59
2021-06-15,77,53
2021-06-16,66,44
2021-06-17,67,39
2021-06-18,73,45
2021-06-19,79,60
2021-06-20,81,56
2021-06-21,83,60
2021-06-22,86,54
2021-06-23,60,41
2021-06-24,72,50
2021-06-25,76,56
2021-06-26,80,60
2021-06-27,83,68
2021-06-28,89,71
2021-06-29,91,66
2021-06-30,93,67
2021-07-01,87,65
2021-07-02,74,59
2021-07-03,72,59
2021-07-04,69,52
2021-07-05,75,50
2021-07-06,85,53
2021-07-07,86,63
2021-07-08,85,63
2021-07-09,78,65
2021-07-10,80,62
2021-07-11,74,55
2021-07-12,71,58
2021-07-13,77,62
2021-07-14,86,65
2021-07-15,80,61
2021-07-16,86,65
2021-07-17,86,65
2021-07-18,76,61
2021-07-19,71,54
2021-07-20,80,59
2021-07-21,84,61
2021-07-22,70,50
2021-07-23,72,51
2021-07-24,76,49
2021-07-25,80,53
2021-07-26,84,56
2021-07-27,83,58
2021-07-28,86,59
2021-07-29,75,52
2021-07-30,76,57
2021-07-31,70,46
2021-08-01,71,48
2021-08-02,73,56
2021-08-03,71,45
2021-08-04,77,48
2021-08-05,79,51
2021-08-06,80,53
2021-08-07,85,57
2021-08-08,84,63
2021-08-09,85,63
2021-08-10,83,64
2021-08-11,85,71
2021-08-12,88,69
2021-08-13,87,68
2021-08-14,88,64
2021-08-15,77,49
2021-08-16,74,48
2021-08-17,76,51
2021-08-18,79,68
2021-08-19,75,68
2021-08-20,77,63
2021-08-21,79,64
2021-08-22,81,65
2021-08-23,83,67
2021-08-24,82,62
2021-08-25,84,62
2021-08-26,89,66
2021-08-27,85,66
2021-08-28,82,66
2021-08-29,79,68
2021-08-30,83,68
2021-08-31,83,58
2021-09-01,83,58
2021-09-02,66,45
2021-09-03,67,50
2021-09-04,67,46
2021-09-05,75,47
2021-09-06,70,54
2021-09-07,72,49
2021-09-08,76,51
2021-09-09,76,55
2021-09-10,76,53
2021-09-11,69,48
2021-09-12,75,50
2021-09-13,78,60
2021-09-14,75,58
2021-09-15,82,61
2021-09-16,75,55
2021-09-17,75,57
2021-09-18,76,64
2021-09-19,76,50
2021-09-20,69,45
2021-09-21,76,46
2021-09-22,73,58
2021-09-23,75,65
2021-09-24,69,48
2021-09-25,66,44
2021-09-26,72,44
2021-09-27,68,46
2021-09-28,76,54
2021-09-29,76,43
2021-09-30,62,44
2021-10-01,60,37
2021-10-02,63,38
2021-10-03,75,44
2021-10-04,64,56
2021-10-05,71,60
2021-10-06,64,58
2021-10-07,68,54
2021-10-08,74,51
2021-10-09,72,53
2021-10-10,64,57
2021-10-11,68,54
2021-10-12,71,55
2021-10-13,70,60
2021-10-14,72,51
2021-10-15,75,51
2021-10-16,79,61
2021-10-17,69,44
2021-10-18,56,44
2021-10-19,49,42
2021-10-20,65,42
2021-10-21,71,42
2021-10-22,71,49
2021-10-23,51,33
2021-10-24,50,38
2021-10-25,53,38
2021-10-26,70,51
2021-10-27,53,45
2021-10-28,53,32
2021-10-29,62,32
2021-10-30,56,44
2021-10-31,54,43
2021-11-01,53,41
2021-11-02,52,36
2021-11-03,45,32
2021-11-04,44,28
2021-11-05,45,23
2021-11-06,45,23
2021-11-07,50,23
2021-11-08,59,25
2021-11-09,65,31
2021-11-10,62,35
2021-11-11,53,29
2021-11-12,58,32
2021-11-13,55,38
2021-11-14,46,33
2021-11-15,42,33
2021-11-16,41,31
2021-11-17,44,25
2021-11-18,53,34
2021-11-19,57,32
2021-11-20,41,21
2021-11-21,41,25
2021-11-22,46,35
2021-11-23,37,27
2021-11-24,32,16
2021-11-25,43,16
2021-11-26,44,32
2021-11-27,34,27
2021-11-28,30,26
2021-11-29,33,26
2021-11-30,32,20
2021-12-01,36,29
2021-12-02,41,34
2021-12-03,52,32
2021-12-04,35,29
2021-12-05,45,26
2021-12-06,47,26
2021-12-07,50,29
2021-12-08,31,26
2021-12-09,32,15
2021-12-10,34,16
2021-12-11,43,34
2021-12-12,58,31
2021-12-13,43,31
2021-12-14,52,24
2021-12-15,44,25
2021-12-16,49,36
2021-12-17,62,33
2021-12-18,48,31
2021-12-19,38,25
2021-12-20,26,14
2021-12-21,33,16
2021-12-22,39,26
2021-12-23,33,23
2021-12-24,28,23
2021-12-25,38,28
2021-12-26,45,35
2021-12-27,37,25
2021-12-28,37,26
2021-12-29,42,29
2021-12-30,40,33
