time_value,tp_value
2015-01-01,15.0
2015-01-02,5.9333333333333345
2015-01-05,7.799999999999998
2015-01-06,7.133333333333331
2015-01-07,7.800000000000001
2015-01-08,7.533333333333333
2015-01-09,8.333333333333332
2015-01-12,7.533333333333333
2015-01-13,6.2
2015-01-14,15.0
2015-01-15,6.733333333333333
2015-01-16,7.533333333333333
2015-01-19,5.400000000000001
2015-01-20,7.133333333333331
2015-01-21,7.533333333333333
2015-01-22,8.333333333333334
2015-01-23,6.733333333333333
2015-01-26,15.0
2015-01-27,6.600000000000001
2015-01-28,6.7333333333333325
2015-01-29,7.8
2015-01-30,7.799999999999998
2015-02-02,11.533333333333337
2015-02-03,7.133333333333332
2015-02-04,6.733333333333333
2015-02-05,10.200000000000001
2015-02-06,7.799999999999997
2015-02-09,7.800000000000001
2015-02-10,6.733333333333333
2015-02-11,8.333333333333332
2015-02-12,8.333333333333332
2015-02-13,7.799999999999999
2015-02-16,7.8
2015-02-17,8.333333333333336
2015-02-18,6.600000000000001
2015-02-19,6.7333333333333325
2015-02-20,7.533333333333333
2015-02-23,7.800000000000001
2015-02-24,6.6000000000000005
2015-02-25,10.2
2015-02-26,6.600000000000001
2015-02-27,6.733333333333333
2015-03-02,6.7333333333333325
2015-03-03,8.333333333333334
2015-03-04,7.533333333333333
2015-03-05,15.0
2015-03-06,7.133333333333331
2015-03-09,10.200000000000001
2015-03-10,7.533333333333333
2015-03-11,6.733333333333333
2015-03-12,7.800000000000001
2015-03-13,7.799999999999999
2015-03-16,6.733333333333333
2015-03-17,9.133333333333333
2015-03-18,7.533333333333334
2015-03-19,7.533333333333333
2015-03-20,6.600000000000001
2015-03-23,7.533333333333334
2015-03-24,5.933333333333334
2015-03-25,8.333333333333334
2015-03-26,7.133333333333331
2015-03-27,6.199999999999999
2015-03-30,6.733333333333333
2015-03-31,7.8
2015-04-01,6.733333333333333
2015-04-02,7.133333333333331
2015-04-03,9.933333333333334
2015-04-06,7.799999999999999
2015-04-07,8.333333333333334
2015-04-08,6.6000000000000005
2015-04-09,6.6000000000000005
2015-04-10,9.133333333333333
2015-04-13,7.533333333333333
2015-04-14,6.6000000000000005
2015-04-15,7.8
2015-04-16,8.333333333333334
2015-04-17,6.733333333333333
2015-04-20,5.9333333333333345
2015-04-21,6.6000000000000005
2015-04-22,7.533333333333333
2015-04-23,6.600000000000001
2015-04-24,7.533333333333333
2015-04-27,7.533333333333333
2015-04-28,8.333333333333332
2015-04-29,6.7333333333333325
2015-04-30,5.533333333333334
2015-05-01,15.0
2015-05-04,7.533333333333333
2015-05-05,10.200000000000001
2015-05-06,7.533333333333333
2015-05-07,7.133333333333331
2015-05-08,6.733333333333333
2015-05-11,6.599999999999999
2015-05-12,8.733333333333333
2015-05-13,8.333333333333334
2015-05-14,6.733333333333333
2015-05-15,7.800000000000001
2015-05-18,6.199999999999998
2015-05-19,8.733333333333333
2015-05-20,8.333333333333334
2015-05-21,7.533333333333333
2015-05-22,6.6000000000000005
2015-05-25,7.533333333333333
2015-05-26,6.733333333333333
2015-05-27,7.799999999999999
2015-05-28,8.333333333333332
2015-05-29,6.733333333333333
2015-06-01,6.600000000000001
2015-06-02,7.799999999999999
2015-06-03,7.533333333333333
2015-06-04,8.733333333333333
2015-06-05,7.133333333333332
2015-06-08,6.733333333333333
2015-06-09,6.733333333333333
2015-06-10,5.9333333333333345
2015-06-11,8.6
2015-06-12,8.733333333333333
2015-06-15,7.533333333333334
2015-06-16,7.8
2015-06-17,6.6000000000000005
2015-06-18,6.6000000000000005
2015-06-19,7.8
2015-06-22,6.199999999999999
2015-06-23,6.733333333333333
2015-06-24,7.133333333333331
2015-06-25,7.533333333333333
2015-06-26,6.733333333333334
2015-06-29,7.133333333333331
2015-06-30,8.733333333333333
2015-07-01,6.600000000000001
2015-07-02,7.133333333333332
2015-07-03,7.533333333333333
2015-07-06,6.6000000000000005
2015-07-07,5.9333333333333345
2015-07-08,6.733333333333334
2015-07-09,7.533333333333333
2015-07-10,7.533333333333333
2015-07-13,6.199999999999998
2015-07-14,6.733333333333333
2015-07-15,7.533333333333333
2015-07-16,8.333333333333334
2015-07-17,15.0
2015-07-20,8.333333333333332
2015-07-21,7.800000000000001
2015-07-22,5.3999999999999995
2015-07-23,7.133333333333332
2015-07-24,7.8
2015-07-27,6.199999999999998
2015-07-28,7.533333333333333
2015-07-29,6.7333333333333325
2015-07-30,7.799999999999999
2015-07-31,7.533333333333333
2015-08-03,7.533333333333333
2015-08-04,7.800000000000001
2015-08-05,6.7333333333333325
2015-08-06,6.600000000000001
2015-08-07,7.800000000000001
2015-08-10,8.333333333333334
2015-08-11,7.533333333333333
2015-08-12,7.533333333333335
2015-08-13,6.6000000000000005
2015-08-14,6.7333333333333325
2015-08-17,7.799999999999999
2015-08-18,7.133333333333331
2015-08-19,7.133333333333332
2015-08-20,9.133333333333333
2015-08-21,7.799999999999999
2015-08-24,6.6000000000000005
2015-08-25,7.799999999999999
2015-08-26,8.733333333333333
2015-08-27,8.333333333333334
2015-08-28,8.733333333333333
2015-08-31,6.199999999999999
2015-09-01,5.933333333333333
2015-09-02,8.333333333333334
2015-09-03,5.933333333333336
2015-09-04,7.800000000000001
2015-09-07,7.533333333333333
2015-09-08,6.7333333333333325
2015-09-09,6.733333333333333
2015-09-10,6.733333333333334
2015-09-11,7.133333333333332
2015-09-14,6.733333333333333
2015-09-15,7.533333333333333
2015-09-16,7.533333333333333
2015-09-17,15.0
2015-09-18,5.9333333333333345
2015-09-21,7.533333333333333
2015-09-22,7.533333333333333
2015-09-23,6.7333333333333325
2015-09-24,7.799999999999998
2015-09-25,6.733333333333333
2015-09-28,8.333333333333332
2015-09-29,8.733333333333333
2015-09-30,9.133333333333333
2015-10-01,8.333333333333336
2015-10-02,15.0
2015-10-05,7.800000000000001
2015-10-06,9.133333333333335
2015-10-07,7.533333333333333
2015-10-08,8.333333333333332
2015-10-09,10.200000000000001
2015-10-12,6.6000000000000005
2015-10-13,6.733333333333334
2015-10-14,6.7333333333333325
2015-10-15,6.199999999999999
2015-10-16,7.533333333333333
2015-10-19,7.533333333333333
2015-10-20,6.733333333333333
2015-10-21,6.199999999999999
2015-10-22,6.733333333333333
2015-10-23,7.133333333333331
2015-10-26,7.133333333333331
2015-10-27,7.533333333333333
2015-10-28,7.533333333333333
2015-10-29,7.8
2015-10-30,6.733333333333334
2015-11-02,5.933333333333334
2015-11-03,7.799999999999999
2015-11-04,8.333333333333334
2015-11-05,8.733333333333333
2015-11-06,6.599999999999999
2015-11-09,15.0
2015-11-10,15.0
2015-11-11,15.0
2015-11-12,7.133333333333332
2015-11-13,8.333333333333334
2015-11-16,8.333333333333334
2015-11-17,6.6000000000000005
2015-11-18,6.7333333333333325
2015-11-19,6.733333333333333
2015-11-20,6.733333333333333
2015-11-23,5.9333333333333345
2015-11-24,7.799999999999999
2015-11-25,6.733333333333333
2015-11-26,7.8
2015-11-27,7.133333333333332
2015-11-30,5.9333333333333345
2015-12-01,7.133333333333332
2015-12-02,6.733333333333332
2015-12-03,7.8
2015-12-04,7.533333333333333
2015-12-07,8.333333333333332
2015-12-08,9.133333333333333
2015-12-09,7.533333333333333
2015-12-10,7.133333333333331
2015-12-11,7.533333333333333
2015-12-14,6.7333333333333325
2015-12-15,7.133333333333332
2015-12-16,7.8
2015-12-17,6.733333333333334
2015-12-18,7.133333333333331
2015-12-21,7.533333333333333
2015-12-22,7.133333333333332
2015-12-23,7.800000000000001
2015-12-24,6.600000000000001
2015-12-25,15.0
2015-12-28,6.199999999999999
2015-12-29,7.800000000000001
2015-12-30,7.133333333333332
2015-12-31,7.8
